key_words,target_line1,target_line2,target_line3,target_line4,base_line1,base_line2,base_line3,base_line4,target_language,base_language
gloves rabbit colorful,"Der Handschuh liegt im bunten Schein,","Ein Hase hüpft im Farbenspiel hinein,","Der Regenbogen strahlt so bunt und fein,","Die Welt ist voller Wunder, groß und klein.","The glove lies in the colorful shine,","A rabbit hops into the play of colors,","The rainbow glows so vibrant and fine,","The world is full of wonders, big and small.",German,English
busy bat clean,"Eine Fledermaus so fleißig ist,","Sie fliegt durch die Nacht, ganz ohne List.","Reinigt die Lüfte, geschwind und klar,","In der Dunkelheit, da ist sie ein Star.","A bat is so diligent,","It flies through the night, without a trick.","Cleansing the air, swift and clear,","In the darkness, it is a star here.",German,English
house kitchen time,"Im Haus da tickt die stille Uhr,","In der Küche zieht die Zeit ihre Spur,","Während wir kochen und träumen so sacht,",Verliert die Hektik an Macht und Pracht.,"In the house, the silent clock ticks,","In the kitchen, time leaves its tricks,","While we cook and dream so gently,",The hustle and bustle lose their plenty.,German,English
boots mustard thick,"Die Stiefel treten im dicken Sand,",Wie Senf auf die Zunge brennt.,"Mit jedem Schritt, fest in der Hand,","Halt' ich die Freiheit, die uns trennt.","The boots tread in the thick sand,",Like mustard burning on the tongue.,"With every step, firm in hand,",I hold the freedom that separates us.,German,English
goat crocodilegrass scarf,"Eine Ziege fraß das Gras im Kreis,",Neben ihr ein Krokodil ganz leis'.,"Es trug einen Schal, der war recht rar,",Doch zieht man hier nicht gern an einem Star.,"A goat grazed grass in a circle,","Next to her, a crocodile so quiet.","It wore a scarf, which was quite rare,","But here, one does not like to pull on a star.",German,English
building purple glass,"Ein Gebäude aus Glas, so klar und kühl,","In violetter Pracht, wie ein königlicher Stuhl.","Es spiegelt die Farben der Stadt bei Nacht,","Ein Funken von Magie, vom Mond bewacht.","A building of glass, so clear and cool,","In violet splendor, like a royal stool.","It reflects the colors of the city at night,","A spark of magic, watched by the moonlight.",German,English
study sugar light,"Im Licht der Lampe, süß wie Zucker,","Studiert er spät, kein Zeitverzucker.","Der Schreibtisch voll, die Bücher schwer,",Doch lernt er fleißig immer mehr.,"In the light of the lamp, sweet as sugar,","He studies late, no time to linger.","The desk is full, the books are heavy,","Yet he diligently learns, ever ready.",German,English
month man sauce,"Der Mann im Monat sitzt ganz groß,","Er liebt die Würze, seine Soß'.","Jeden Tag ein neues Schmankerl,",Mit der Schöpfkelle immer wandelbar.,"The man in the moon sits up high,","He loves the spice, his sauce awry.","Every day a new delicacy,","With the ladle ever versatile, you see.",German,English
hat country otter,"Ein Otter trägt seinen Hut mit Stolz,","Im Fluss, dem Land hier zugehörig,","Er schwimmt herum, das Wasser sein Holz,","Sein Lächeln freundlich, unerhört fröhlich.","An otter wears his hat with pride,","In the river, belonging to the land,","He swims around, the water his wood,","His smile friendly, unbelievably joyful.",German,English
beaver sheep question,"Ein Biber fragt das Schaf ganz sacht,",Warum er nachts so selten wacht.,"Das Schaf mit einem Lächeln spricht,",„Ich träume lieber manches Licht.“,"A beaver gently asks the sheep,",Why he rarely wakes at night from sleep.,"The sheep replies with a smile so bright,","""I prefer to dream of some light.""",German,English
bike goose cook,"Ein Fahrrad rollt im Sonnenschein,",Eine Gans schnattert dort am Teich.,"In der Küche brutzelt schon der Wein,",Zum Kochen fühl ich mich heut reich.,"A bicycle rolls in the sunshine,",A goose is honking by the pond.,"In the kitchen, the wine is already sizzling,",Today I feel rich for cooking.,German,English
backpack socks salt,Im Rucksack trage ich Socken und Salz,Für Abenteuer fern von Asphalt und Schmalz.,"Die Wege sind steinig, doch voller Reiz,",Mit Salz auf der Zunge wird alles heiß.,"In my backpack, I carry socks and salt,",For adventures far from asphalt and schmaltz.,"The paths are rocky, yet full of charm,","With salt on the tongue, everything is warm.",German,English
sleep silver gold,"Der Schlaf ist sanft im Silberschein,",Die Träume weben Gold so fein.,"In der Nacht, da ruht die Welt,",Wo Silberlicht die Dunkelheit erhellt.,"Sleep is gentle in the silver glow,","Dreams weave gold so fine, you know.","In the night, the world finds rest,",Where silver light brightens the darkness best.,German,English
